backdrop_path,budget,id,imdb_id,origin_country,overview,popularity,poster_path,revenue
https://image.tmdb.org/t/p/original/vA3lzpeZXZ80XtcxE8213YQUJut.jpg,0,12539,tt0058692,['FR'],"Aristocrat Guillaume de Saint Preux leads a double life as a masked bandit known as the Black Tulip. The Black Tulip only robs rich aristocrats, so the local peasants regard him as a hero. Baron La Mouche is convinced Guillaume is the Tulip. During a robbery, he scars the Tulip's face, and hopes to use this to expose Guillaume, but Guillaume is one step ahead.",1.4098,https://image.tmdb.org/t/p/w500/fYaIoQrEEz2fnJcY3KAzBsPwvF4.jpg,0
https://image.tmdb.org/t/p/original/iOUhnp01rP9Xr5QG66LMAKSDkYv.jpg,220000,8072,tt0058898,['FR'],"Lemmy Caution is on a mission to eliminate Professor Von Braun, the creator of a malevolent computer that rules the city of Alphaville. Befriended by the scientist’s daughter Natasha, Lemmy must unravel the mysteries of the strictly logical Alpha 60 and teach Natasha the meaning of the word “love.”",1.4817,https://image.tmdb.org/t/p/w500/fFJP3D5fJDFxN7ChqSye1DZ0fTL.jpg,46585
https://image.tmdb.org/t/p/original/ofQyDtvprS9qtXtXhBQQoZIkiv0.jpg,0,1870,tt0059168,['FR'],"In the second episode of the trilogy Fantômas kidnaps distinguished scientist professor Marchand with the aim to develop a super weapon that will enable him to menace the world. Fantômas is also planning to abduct a second scientist, professor Lefebvre.",1.5534,https://image.tmdb.org/t/p/w500/m5fyoLC3CAZbeo1lJnGtbLsC949.jpg,0
https://image.tmdb.org/t/p/original/bONqGKL72vZup5huGNaGGxrdOpw.jpg,0,74767,tt0059241,['FR'],Hector Valentin returns to France from Canada when he inherits a small sawmill. He has difficulties restarting the run-down operation which has inefficient workers and is hampered by the dirty tactics of its bigger...,0.4016,https://image.tmdb.org/t/p/w500/y1OV7AbXCPPacXpASpL6X7csU7B.jpg,0
https://image.tmdb.org/t/p/original/hgnHHTaCOvuU6PGVROcweweYZVd.jpg,0,33360,tt0059499,['FR'],"One-time gangster Antoine is enjoying retirement on the coast, now managing a boating club. He receives a visit from a former accomplice who asks for a loan. The money will be repaid by a crook who is now in hiding; Antoine intends to recover his money.",0.3384,https://image.tmdb.org/t/p/w500/nsNKmjW6bZoKLQmHDVRrA0T1UQd.jpg,0
https://image.tmdb.org/t/p/original/a4RNXirykK97k3bK3re4uMsJLg7.jpg,0,51808,tt0059565,['FR'],"Six vignettes set in different sections of Paris, by six directors. St. Germain des Pres (Douchet), Gare du Nord (Rouch), Rue St. Denis (Pollet), and Montparnasse et Levallois (Godard) are stories of love, flirtation and prostitution; Place d'Etoile (Rohmer) concerns a haberdasher and his umbrella; and La Muette (Chabrol), a bourgeois family and earplugs.",0.3635,https://image.tmdb.org/t/p/w500/2wgiXwjpoKEQUszDBqv8BQn4MA.jpg,0
https://image.tmdb.org/t/p/original/wjqAPaNbsxkZHWZlZTxdZbcNeAi.jpg,0,61765,tt0059831,['FR'],A millionaire realizes he really wants to live after he has hired an assassin to kill him.,0.7612,https://image.tmdb.org/t/p/w500/2h1adpIPl82aygyO3BPDyALAEey.jpg,0
https://image.tmdb.org/t/p/original/o4J01PEdAnv3B01LZGZLw19gEHy.jpg,0,4194,tt0059872,['FR'],"In the countryside near Normandy's beaches lives Marie, unhappy. It's 1945, she's married to Jérôme, a somewhat fussy milquetoast, diffident to the war around him and unwilling to move his wife to Paris, where she longs to live, shop, and party. A German outfit is bivouacked at Jérôme and Marie's crumbling château because its commanding officer is pursuing Marie. She's also eyed by a French spy working with the Allies as they plan D-Day. He woos her (posing to the Germans as her brother) and, in his passion, forgets his mission. Heroics come from an unexpected direction, and Marie makes her choice.",0.3756,https://image.tmdb.org/t/p/w500/hPfS3Emw7P3QzxjJ9vQisoneW2Q.jpg,0
https://image.tmdb.org/t/p/original/g85eAKkBGTuymtSaG8t1BwxwD1L.jpg,0,90228,tt0059934,['FR'],"The story follows the son of a millionaire from the 1920s to the 1960s. After losing his fortune in the stock-exchange crash, he teams up with an equestrienne and becomes a circus clown.",0.5351,https://image.tmdb.org/t/p/w500/yjgxj4hkZk87hNXd39GpUPC6STp.jpg,0
https://image.tmdb.org/t/p/original/om47GMuXbkAtlBgBcOnklWAXg6H.jpg,0,11799,tt0059956,['FR'],"An IRA operative escapes to the Americas and teams up with a circus singer to create a popular vaudeville act. When the singer falls for a rebel, they leave the circus behind to become fierce revolutionaries.",1.0241,https://image.tmdb.org/t/p/w500/hAArxvmVALRNf7fmWdzT7dVFz8k.jpg,0
